reading_id,asset_code,source,message_id,request_id,trigger,observed_at,received_at,temperature_c,temperature_status
TR-00081,BOX-04,SEED,TEMP-00081,,SEED,2026-09-18T11:57:00.000Z,2026-09-18T11:58:00.000Z,-4.9,NORMAL
TR-00375,BAG-067,SEED,TEMP-00375,,SEED,2026-09-18T11:59:00.000Z,2026-09-18T12:00:00.000Z,-5.3,NORMAL
TR-00111,BAG-021,SEED,TEMP-00111,,SEED,2026-09-18T12:03:00.000Z,2026-09-18T12:04:00.000Z,-5.1,NORMAL
TR-00218,BAG-036,SEED,TEMP-00218,,SEED,2026-09-18T12:06:00.000Z,2026-09-18T12:07:00.000Z,-5.6,NORMAL
TR-00292,BAG-051,SEED,TEMP-00292,,SEED,2026-09-18T12:09:00.000Z,2026-09-18T12:10:00.000Z,-4.8,NORMAL
TR-00180,BOX-01,SEED,TEMP-00180,,SEED,2026-09-18T12:11:00.000Z,2026-09-18T12:12:00.000Z,-5.8,NORMAL
TR-00356,BAG-065,SEED,TEMP-00356,,SEED,2026-09-18T12:13:00.000Z,2026-09-18T12:14:00.000Z,-5.6,NORMAL
TR-00332,BAG-061,SEED,TEMP-00332,,SEED,2026-09-18T12:14:00.000Z,2026-09-18T12:15:00.000Z,-4.5,NORMAL
TR-00390,FREEZER-JKT-SLT,SEED,TEMP-00390,,SEED,2026-09-18T12:14:00.000Z,2026-09-18T12:15:00.000Z,-1.3,WARNING
TR-00165,BAG-029,SEED,TEMP-00165,,SEED,2026-09-18T12:15:00.000Z,2026-09-18T12:16:00.000Z,-5.4,NORMAL
TR-00365,BAG-066,SEED,TEMP-00365,,SEED,2026-09-18T12:15:00.000Z,2026-09-18T12:16:00.000Z,-5.1,NORMAL
TR-00194,FREEZER-BGR,SEED,TEMP-00194,,SEED,2026-09-18T12:16:00.000Z,2026-09-18T12:17:00.000Z,-3.9,NORMAL
TR-00020,FREEZER-BKS,SEED,TEMP-00020,,SEED,2026-09-18T12:16:00.000Z,2026-09-18T12:17:00.000Z,-3.9,NORMAL
TR-00209,FREEZER-JKT-BRT,SEED,TEMP-00209,,SEED,2026-09-18T12:22:00.000Z,2026-09-18T12:23:00.000Z,-3.6,NORMAL
TR-00263,BOX-04,SEED,TEMP-00263,,SEED,2026-09-18T12:23:00.000Z,2026-09-18T12:24:00.000Z,-5.4,NORMAL
TR-00376,FREEZER-TGR,SEED,TEMP-00376,,SEED,2026-09-18T12:26:00.000Z,2026-09-18T12:27:00.000Z,-3.4,NORMAL
TR-00082,BOX-04,SEED,TEMP-00082,,SEED,2026-09-18T12:27:00.000Z,2026-09-18T12:28:00.000Z,1.2,CRITICAL
TR-00112,BAG-021,SEED,TEMP-00112,,SEED,2026-09-18T12:33:00.000Z,2026-09-18T12:34:00.000Z,-5.7,NORMAL
TR-00124,BAG-023,SEED,TEMP-00124,,SEED,2026-09-18T12:33:00.000Z,2026-09-18T12:34:00.000Z,-5.8,NORMAL
TR-00333,FREEZER-JKT-PST,SEED,TEMP-00333,,SEED,2026-09-18T12:35:00.000Z,2026-09-18T12:36:00.000Z,-4.1,NORMAL
TR-00219,BAG-036,SEED,TEMP-00219,,SEED,2026-09-18T12:36:00.000Z,2026-09-18T12:37:00.000Z,-4.4,NORMAL
TR-00055,BAG-012,SEED,TEMP-00055,,SEED,2026-09-18T12:38:00.000Z,2026-09-18T12:39:00.000Z,-5.6,NORMAL
TR-00357,FREEZER-JKT-BRT,SEED,TEMP-00357,,SEED,2026-09-18T12:38:00.000Z,2026-09-18T12:39:00.000Z,-3,NORMAL
TR-00293,BAG-051,SEED,TEMP-00293,,SEED,2026-09-18T12:39:00.000Z,2026-09-18T12:40:00.000Z,-5.5,NORMAL
TR-00321,BAG-059,SEED,TEMP-00321,,SEED,2026-09-18T12:39:00.000Z,2026-09-18T12:40:00.000Z,-4.6,NORMAL
TR-00166,FREEZER-JKT-SLT,SEED,TEMP-00166,,SEED,2026-09-18T12:40:00.000Z,2026-09-18T12:41:00.000Z,-3.3,NORMAL
TR-00021,BOX-06,SEED,TEMP-00021,,SEED,2026-09-18T12:41:00.000Z,2026-09-18T12:42:00.000Z,-5.5,NORMAL
TR-00181,FREEZER-JKT-TMR,SEED,TEMP-00181,,SEED,2026-09-18T12:41:00.000Z,2026-09-18T12:42:00.000Z,-3.2,NORMAL
TR-00391,BOX-03,SEED,TEMP-00391,,SEED,2026-09-18T12:42:00.000Z,2026-09-18T12:43:00.000Z,-4.9,NORMAL
TR-00083,FREEZER-TGR,SEED,TEMP-00083,,SEED,2026-09-18T12:42:00.000Z,2026-09-18T12:43:00.000Z,-4.1,NORMAL
TR-00195,BOX-03,SEED,TEMP-00195,,SEED,2026-09-18T12:44:00.000Z,2026-09-18T12:45:00.000Z,-1.3,WARNING
TR-00152,BAG-027,SEED,TEMP-00152,,SEED,2026-09-18T12:45:00.000Z,2026-09-18T12:46:00.000Z,-4.3,NORMAL
TR-00366,BAG-066,SEED,TEMP-00366,,SEED,2026-09-18T12:45:00.000Z,2026-09-18T12:46:00.000Z,-5.5,NORMAL
TR-00096,BAG-018,SEED,TEMP-00096,,SEED,2026-09-18T12:46:00.000Z,2026-09-18T12:47:00.000Z,-5.2,NORMAL
TR-00275,BAG-048,SEED,TEMP-00275,,SEED,2026-09-18T12:50:00.000Z,2026-09-18T12:51:00.000Z,-4.6,NORMAL
TR-00113,FREEZER-JKT-PST,SEED,TEMP-00113,,SEED,2026-09-18T12:50:00.000Z,2026-09-18T12:51:00.000Z,-3.7,NORMAL
TR-00315,BAG-057,SEED,TEMP-00315,,SEED,2026-09-18T12:51:00.000Z,2026-09-18T12:52:00.000Z,-4.5,NORMAL
TR-00346,BAG-063,SEED,TEMP-00346,,SEED,2026-09-18T12:51:00.000Z,2026-09-18T12:52:00.000Z,-5.6,NORMAL
TR-00066,BAG-014,SEED,TEMP-00066,,SEED,2026-09-18T12:52:00.000Z,2026-09-18T12:53:00.000Z,-4.5,NORMAL
TR-00377,BOX-01,SEED,TEMP-00377,,SEED,2026-09-18T12:52:00.000Z,2026-09-18T12:53:00.000Z,-1.3,WARNING
TR-00210,BOX-05,SEED,TEMP-00210,,SEED,2026-09-18T12:52:00.000Z,2026-09-18T12:53:00.000Z,-5.5,NORMAL
TR-00264,BOX-04,SEED,TEMP-00264,,SEED,2026-09-18T12:53:00.000Z,2026-09-18T12:54:00.000Z,-4.1,NORMAL
TR-00300,BAG-052,SEED,TEMP-00300,,SEED,2026-09-18T12:54:00.000Z,2026-09-18T12:55:00.000Z,-4.1,NORMAL
TR-00334,BOX-01,SEED,TEMP-00334,,SEED,2026-09-18T12:55:00.000Z,2026-09-18T12:56:00.000Z,-5.9,NORMAL
TR-00137,BAG-025,SEED,TEMP-00137,,SEED,2026-09-18T12:57:00.000Z,2026-09-18T12:58:00.000Z,-4.9,NORMAL
TR-00358,BOX-05,SEED,TEMP-00358,,SEED,2026-09-18T13:02:00.000Z,2026-09-18T13:03:00.000Z,-5.1,NORMAL
TR-00125,BAG-023,SEED,TEMP-00125,,SEED,2026-09-18T13:03:00.000Z,2026-09-18T13:04:00.000Z,-4.9,NORMAL
TR-00285,BAG-050,SEED,TEMP-00285,,SEED,2026-09-18T13:04:00.000Z,2026-09-18T13:05:00.000Z,-4.3,NORMAL
TR-00167,BOX-05,SEED,TEMP-00167,,SEED,2026-09-18T13:04:00.000Z,2026-09-18T13:05:00.000Z,-4.3,NORMAL
TR-00084,BOX-04,SEED,TEMP-00084,,SEED,2026-09-18T13:06:00.000Z,2026-09-18T13:07:00.000Z,-5.1,NORMAL
TR-00056,BAG-012,SEED,TEMP-00056,,SEED,2026-09-18T13:08:00.000Z,2026-09-18T13:09:00.000Z,-4.3,NORMAL
TR-00182,BOX-01,SEED,TEMP-00182,,SEED,2026-09-18T13:08:00.000Z,2026-09-18T13:09:00.000Z,-1.3,WARNING
TR-00220,FREEZER-BKS,SEED,TEMP-00220,,SEED,2026-09-18T13:08:00.000Z,2026-09-18T13:09:00.000Z,-3.4,NORMAL
TR-00294,FREEZER-JKT-PST,SEED,TEMP-00294,,SEED,2026-09-18T13:08:00.000Z,2026-09-18T13:09:00.000Z,-4,NORMAL
TR-00322,BAG-059,SEED,TEMP-00322,,SEED,2026-09-18T13:09:00.000Z,2026-09-18T13:10:00.000Z,-4.4,NORMAL
TR-00022,BOX-06,SEED,TEMP-00022,,SEED,2026-09-18T13:11:00.000Z,2026-09-18T13:12:00.000Z,-5.1,NORMAL
TR-00367,FREEZER-BKS,SEED,TEMP-00367,,SEED,2026-09-18T13:11:00.000Z,2026-09-18T13:12:00.000Z,-3.6,NORMAL
TR-00392,BOX-03,SEED,TEMP-00392,,SEED,2026-09-18T13:12:00.000Z,2026-09-18T13:13:00.000Z,-5.4,NORMAL
TR-00196,BOX-03,SEED,TEMP-00196,,SEED,2026-09-18T13:14:00.000Z,2026-09-18T13:15:00.000Z,-5.6,NORMAL
TR-00153,BAG-027,SEED,TEMP-00153,,SEED,2026-09-18T13:15:00.000Z,2026-09-18T13:16:00.000Z,-4.8,NORMAL
TR-00097,BAG-018,SEED,TEMP-00097,,SEED,2026-09-18T13:16:00.000Z,2026-09-18T13:17:00.000Z,-4.9,NORMAL
TR-00114,BOX-03,SEED,TEMP-00114,,SEED,2026-09-18T13:18:00.000Z,2026-09-18T13:19:00.000Z,-5.2,NORMAL
TR-00276,BAG-048,SEED,TEMP-00276,,SEED,2026-09-18T13:20:00.000Z,2026-09-18T13:21:00.000Z,-5.3,NORMAL
TR-00265,FREEZER-TGR,SEED,TEMP-00265,,SEED,2026-09-18T13:20:00.000Z,2026-09-18T13:21:00.000Z,-3.8,NORMAL
TR-00316,BAG-057,SEED,TEMP-00316,,SEED,2026-09-18T13:21:00.000Z,2026-09-18T13:22:00.000Z,-5.6,NORMAL
TR-00347,BAG-063,SEED,TEMP-00347,,SEED,2026-09-18T13:21:00.000Z,2026-09-18T13:22:00.000Z,-5.2,NORMAL
TR-00067,BAG-014,SEED,TEMP-00067,,SEED,2026-09-18T13:22:00.000Z,2026-09-18T13:23:00.000Z,-5.1,NORMAL
TR-00378,BOX-01,SEED,TEMP-00378,,SEED,2026-09-18T13:22:00.000Z,2026-09-18T13:23:00.000Z,-5.9,NORMAL
TR-00211,BOX-05,SEED,TEMP-00211,,SEED,2026-09-18T13:22:00.000Z,2026-09-18T13:23:00.000Z,-4.4,NORMAL
TR-00126,FREEZER-BGR,SEED,TEMP-00126,,SEED,2026-09-18T13:22:00.000Z,2026-09-18T13:23:00.000Z,-2.9,NORMAL
TR-00301,BAG-052,SEED,TEMP-00301,,SEED,2026-09-18T13:24:00.000Z,2026-09-18T13:25:00.000Z,-5.6,NORMAL
TR-00335,BOX-01,SEED,TEMP-00335,,SEED,2026-09-18T13:25:00.000Z,2026-09-18T13:26:00.000Z,-5.1,NORMAL
TR-00138,BAG-025,SEED,TEMP-00138,,SEED,2026-09-18T13:27:00.000Z,2026-09-18T13:28:00.000Z,-5,NORMAL
TR-00323,FREEZER-JKT-SLT,SEED,TEMP-00323,,SEED,2026-09-18T13:28:00.000Z,2026-09-18T13:29:00.000Z,-2.8,NORMAL
TR-00295,BOX-03,SEED,TEMP-00295,,SEED,2026-09-18T13:30:00.000Z,2026-09-18T13:31:00.000Z,-5.1,NORMAL
TR-00359,BOX-05,SEED,TEMP-00359,,SEED,2026-09-18T13:32:00.000Z,2026-09-18T13:33:00.000Z,-5.5,NORMAL
TR-00286,BAG-050,SEED,TEMP-00286,,SEED,2026-09-18T13:34:00.000Z,2026-09-18T13:35:00.000Z,-1.3,WARNING
TR-00168,BOX-05,SEED,TEMP-00168,,SEED,2026-09-18T13:34:00.000Z,2026-09-18T13:35:00.000Z,-5.8,NORMAL
TR-00057,FREEZER-JKT-UTR,SEED,TEMP-00057,,SEED,2026-09-18T13:34:00.000Z,2026-09-18T13:35:00.000Z,-3.3,NORMAL
TR-00023,FREEZER-TGR,SEED,TEMP-00023,,SEED,2026-09-18T13:34:00.000Z,2026-09-18T13:35:00.000Z,-4.4,NORMAL
TR-00049,BAG-011,SEED,TEMP-00049,,SEED,2026-09-18T13:35:00.000Z,2026-09-18T13:36:00.000Z,-5.1,NORMAL
TR-00085,BOX-04,SEED,TEMP-00085,,SEED,2026-09-18T13:36:00.000Z,2026-09-18T13:37:00.000Z,-4.4,NORMAL
TR-00368,BOX-06,SEED,TEMP-00368,,SEED,2026-09-18T13:36:00.000Z,2026-09-18T13:37:00.000Z,-5.4,NORMAL
TR-00183,BOX-01,SEED,TEMP-00183,,SEED,2026-09-18T13:38:00.000Z,2026-09-18T13:39:00.000Z,-5.3,NORMAL
TR-00212,FREEZER-JKT-TMR,SEED,TEMP-00212,,SEED,2026-09-18T13:38:00.000Z,2026-09-18T13:39:00.000Z,-4.4,NORMAL
TR-00154,FREEZER-TGR,SEED,TEMP-00154,,SEED,2026-09-18T13:38:00.000Z,2026-09-18T13:39:00.000Z,-3.7,NORMAL
TR-00221,BOX-06,SEED,TEMP-00221,,SEED,2026-09-18T13:39:00.000Z,2026-09-18T13:40:00.000Z,-1.3,WARNING
TR-00348,FREEZER-BGR,SEED,TEMP-00348,,SEED,2026-09-18T13:44:00.000Z,2026-09-18T13:45:00.000Z,-2.9,NORMAL
TR-00393,FREEZER-JKT-PST,SEED,TEMP-00393,,SEED,2026-09-18T13:44:00.000Z,2026-09-18T13:45:00.000Z,-4.2,NORMAL
TR-00277,FREEZER-JKT-TMR,SEED,TEMP-00277,,SEED,2026-09-18T13:46:00.000Z,2026-09-18T13:47:00.000Z,-2.7,NORMAL
TR-00197,FREEZER-TGR,SEED,TEMP-00197,,SEED,2026-09-18T13:46:00.000Z,2026-09-18T13:47:00.000Z,-3.6,NORMAL
TR-00115,BOX-03,SEED,TEMP-00115,,SEED,2026-09-18T13:48:00.000Z,2026-09-18T13:49:00.000Z,-4.8,NORMAL
TR-00139,FREEZER-JKT-BRT,SEED,TEMP-00139,,SEED,2026-09-18T13:48:00.000Z,2026-09-18T13:49:00.000Z,-2.6,NORMAL
TR-00098,FREEZER-JKT-TMR,SEED,TEMP-00098,,SEED,2026-09-18T13:48:00.000Z,2026-09-18T13:49:00.000Z,-3.7,NORMAL
TR-00336,FREEZER-JKT-TMR,SEED,TEMP-00336,,SEED,2026-09-18T13:49:00.000Z,2026-09-18T13:50:00.000Z,-4.2,NORMAL
TR-00266,BOX-04,SEED,TEMP-00266,,SEED,2026-09-18T13:50:00.000Z,2026-09-18T13:51:00.000Z,-4.3,NORMAL
TR-00068,FREEZER-BKS,SEED,TEMP-00068,,SEED,2026-09-18T13:50:00.000Z,2026-09-18T13:51:00.000Z,-4.1,NORMAL
TR-00043,BAG-010,SEED,TEMP-00043,,SEED,2026-09-18T13:52:00.000Z,2026-09-18T13:53:00.000Z,-5.4,NORMAL
TR-00127,BOX-05,SEED,TEMP-00127,,SEED,2026-09-18T13:52:00.000Z,2026-09-18T13:53:00.000Z,-4.2,NORMAL
TR-00379,FREEZER-BGR,SEED,TEMP-00379,,SEED,2026-09-18T13:52:00.000Z,2026-09-18T13:53:00.000Z,-3.3,NORMAL
TR-00184,FREEZER-JKT-SLT,SEED,TEMP-00184,,SEED,2026-09-18T13:53:00.000Z,2026-09-18T13:54:00.000Z,-3.1,NORMAL
TR-00302,FREEZER-JKT-UTR,SEED,TEMP-00302,,SEED,2026-09-18T13:54:00.000Z,2026-09-18T13:55:00.000Z,-4.4,NORMAL
TR-00086,FREEZER-TGS,SEED,TEMP-00086,,SEED,2026-09-18T13:54:00.000Z,2026-09-18T13:55:00.000Z,-2.8,NORMAL
TR-00324,BOX-05,SEED,TEMP-00324,,SEED,2026-09-18T13:58:00.000Z,2026-09-18T13:59:00.000Z,-5,NORMAL
TR-00146,BAG-026,SEED,TEMP-00146,,SEED,2026-09-18T13:59:00.000Z,2026-09-18T14:00:00.000Z,-5.3,NORMAL
TR-00034,BAG-008,SEED,TEMP-00034,,SEED,2026-09-18T14:00:00.000Z,2026-09-18T14:01:00.000Z,-5.7,NORMAL
TR-00242,BAG-042,SEED,TEMP-00242,,SEED,2026-09-18T14:00:00.000Z,2026-09-18T14:01:00.000Z,-5.2,NORMAL
TR-00155,BOX-03,SEED,TEMP-00155,,SEED,2026-09-18T14:00:00.000Z,2026-09-18T14:01:00.000Z,-4.5,NORMAL
TR-00024,BOX-06,SEED,TEMP-00024,,SEED,2026-09-18T14:00:00.000Z,2026-09-18T14:01:00.000Z,-4.3,NORMAL
TR-00360,FREEZER-JKT-TMR,SEED,TEMP-00360,,SEED,2026-09-18T14:00:00.000Z,2026-09-18T14:01:00.000Z,-3,NORMAL
TR-00169,FREEZER-JKT-PST,SEED,TEMP-00169,,SEED,2026-09-18T14:02:00.000Z,2026-09-18T14:03:00.000Z,-1.3,WARNING
TR-00287,FREEZER-TGR,SEED,TEMP-00287,,SEED,2026-09-18T14:02:00.000Z,2026-09-18T14:03:00.000Z,0.2,CRITICAL
TR-00050,BAG-011,SEED,TEMP-00050,,SEED,2026-09-18T14:05:00.000Z,2026-09-18T14:06:00.000Z,-4.8,NORMAL
TR-00058,BOX-06,SEED,TEMP-00058,,SEED,2026-09-18T14:05:00.000Z,2026-09-18T14:06:00.000Z,-5.6,NORMAL
TR-00251,BAG-044,SEED,TEMP-00251,,SEED,2026-09-18T14:06:00.000Z,2026-09-18T14:07:00.000Z,-5.4,NORMAL
TR-00317,BOX-03,SEED,TEMP-00317,,SEED,2026-09-18T14:06:00.000Z,2026-09-18T14:07:00.000Z,-4.7,NORMAL
TR-00369,BOX-06,SEED,TEMP-00369,,SEED,2026-09-18T14:06:00.000Z,2026-09-18T14:07:00.000Z,1.2,CRITICAL
TR-00235,BAG-040,SEED,TEMP-00235,,SEED,2026-09-18T14:08:00.000Z,2026-09-18T14:09:00.000Z,-4.5,NORMAL
TR-00140,BOX-01,SEED,TEMP-00140,,SEED,2026-09-18T14:08:00.000Z,2026-09-18T14:09:00.000Z,-4.8,NORMAL
TR-00116,FREEZER-JKT-TMR,SEED,TEMP-00116,,SEED,2026-09-18T14:08:00.000Z,2026-09-18T14:09:00.000Z,-4.3,NORMAL
TR-00213,BOX-05,SEED,TEMP-00213,,SEED,2026-09-18T14:09:00.000Z,2026-09-18T14:10:00.000Z,-4.2,NORMAL
TR-00222,BOX-06,SEED,TEMP-00222,,SEED,2026-09-18T14:09:00.000Z,2026-09-18T14:10:00.000Z,-4.3,NORMAL
TR-00337,BOX-01,SEED,TEMP-00337,,SEED,2026-09-18T14:10:00.000Z,2026-09-18T14:11:00.000Z,-4.9,NORMAL
TR-00069,BOX-02,SEED,TEMP-00069,,SEED,2026-09-18T14:11:00.000Z,2026-09-18T14:12:00.000Z,-4.7,NORMAL
TR-00394,BOX-03,SEED,TEMP-00394,,SEED,2026-09-18T14:13:00.000Z,2026-09-18T14:14:00.000Z,-4.2,NORMAL
TR-00099,BOX-06,SEED,TEMP-00099,,SEED,2026-09-18T14:13:00.000Z,2026-09-18T14:14:00.000Z,-4.3,NORMAL
TR-00198,BOX-03,SEED,TEMP-00198,,SEED,2026-09-18T14:15:00.000Z,2026-09-18T14:16:00.000Z,-4.1,NORMAL
TR-00303,BOX-04,SEED,TEMP-00303,,SEED,2026-09-18T14:17:00.000Z,2026-09-18T14:18:00.000Z,-4.8,NORMAL
TR-00278,BOX-06,SEED,TEMP-00278,,SEED,2026-09-18T14:17:00.000Z,2026-09-18T14:18:00.000Z,-5.4,NORMAL
TR-00380,BOX-01,SEED,TEMP-00380,,SEED,2026-09-18T14:19:00.000Z,2026-09-18T14:20:00.000Z,-5.8,NORMAL
TR-00087,BOX-04,SEED,TEMP-00087,,SEED,2026-09-18T14:19:00.000Z,2026-09-18T14:20:00.000Z,-4.2,NORMAL
TR-00267,BOX-04,SEED,TEMP-00267,,SEED,2026-09-18T14:20:00.000Z,2026-09-18T14:21:00.000Z,-4.9,NORMAL
TR-00185,BOX-01,SEED,TEMP-00185,,SEED,2026-09-18T14:21:00.000Z,2026-09-18T14:22:00.000Z,-5,NORMAL
TR-00044,BAG-010,SEED,TEMP-00044,,SEED,2026-09-18T14:22:00.000Z,2026-09-18T14:23:00.000Z,-4.7,NORMAL
TR-00128,BOX-05,SEED,TEMP-00128,,SEED,2026-09-18T14:22:00.000Z,2026-09-18T14:23:00.000Z,-4.5,NORMAL
TR-00288,BOX-02,SEED,TEMP-00288,,SEED,2026-09-18T14:23:00.000Z,2026-09-18T14:24:00.000Z,-4.7,NORMAL
TR-00361,BOX-05,SEED,TEMP-00361,,SEED,2026-09-18T14:25:00.000Z,2026-09-18T14:26:00.000Z,-5.2,NORMAL
TR-00223,FREEZER-TGR,SEED,TEMP-00223,,SEED,2026-09-18T14:26:00.000Z,2026-09-18T14:27:00.000Z,-3.4,NORMAL
TR-00170,BOX-05,SEED,TEMP-00170,,SEED,2026-09-18T14:27:00.000Z,2026-09-18T14:28:00.000Z,-4.8,NORMAL
TR-00325,BOX-05,SEED,TEMP-00325,,SEED,2026-09-18T14:28:00.000Z,2026-09-18T14:29:00.000Z,-1.3,WARNING
TR-00147,BAG-026,SEED,TEMP-00147,,SEED,2026-09-18T14:29:00.000Z,2026-09-18T14:30:00.000Z,-4.7,NORMAL
TR-00035,BAG-008,SEED,TEMP-00035,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-4.8,NORMAL
TR-00203,BAG-034,SEED,TEMP-00203,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-5.6,NORMAL
TR-00243,BAG-042,SEED,TEMP-00243,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-5.5,NORMAL
TR-00398,BAG-070,SEED,TEMP-00398,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-4.8,NORMAL
TR-00156,BOX-03,SEED,TEMP-00156,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-1.3,WARNING
TR-00025,BOX-06,SEED,TEMP-00025,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-4.8,NORMAL
TR-00051,FREEZER-JKT-PST,SEED,TEMP-00051,,SEED,2026-09-18T14:30:00.000Z,2026-09-18T14:31:00.000Z,-2.8,NORMAL
TR-00296,FREEZER-JKT-TMR,SEED,TEMP-00296,,SEED,2026-09-18T14:32:00.000Z,2026-09-18T14:33:00.000Z,-3.4,NORMAL
TR-00059,BOX-06,SEED,TEMP-00059,,SEED,2026-09-18T14:35:00.000Z,2026-09-18T14:36:00.000Z,-5,NORMAL
TR-00370,FREEZER-TGR,SEED,TEMP-00370,,SEED,2026-09-18T14:35:00.000Z,2026-09-18T14:36:00.000Z,-3.6,NORMAL
TR-00252,BAG-044,SEED,TEMP-00252,,SEED,2026-09-18T14:36:00.000Z,2026-09-18T14:37:00.000Z,-4.8,NORMAL
TR-00384,BAG-068,SEED,TEMP-00384,,SEED,2026-09-18T14:36:00.000Z,2026-09-18T14:37:00.000Z,-4.7,NORMAL
TR-00318,BOX-03,SEED,TEMP-00318,,SEED,2026-09-18T14:36:00.000Z,2026-09-18T14:37:00.000Z,-5.8,NORMAL
TR-00117,BOX-03,SEED,TEMP-00117,,SEED,2026-09-18T14:37:00.000Z,2026-09-18T14:38:00.000Z,-1.3,WARNING
TR-00236,BAG-040,SEED,TEMP-00236,,SEED,2026-09-18T14:38:00.000Z,2026-09-18T14:39:00.000Z,-5.2,NORMAL
TR-00141,BOX-01,SEED,TEMP-00141,,SEED,2026-09-18T14:38:00.000Z,2026-09-18T14:39:00.000Z,-4.8,NORMAL
TR-00092,BAG-017,SEED,TEMP-00092,,SEED,2026-09-18T14:39:00.000Z,2026-09-18T14:40:00.000Z,-5.3,NORMAL
TR-00133,BAG-024,SEED,TEMP-00133,,SEED,2026-09-18T14:39:00.000Z,2026-09-18T14:40:00.000Z,-4.2,NORMAL
TR-00307,BAG-053,SEED,TEMP-00307,,SEED,2026-09-18T14:39:00.000Z,2026-09-18T14:40:00.000Z,-5.7,NORMAL
TR-00214,BOX-05,SEED,TEMP-00214,,SEED,2026-09-18T14:39:00.000Z,2026-09-18T14:40:00.000Z,-4.2,NORMAL
TR-00338,BOX-01,SEED,TEMP-00338,,SEED,2026-09-18T14:40:00.000Z,2026-09-18T14:41:00.000Z,-1.3,WARNING
