event_id,awb,event_code,stage,occurred_at,hub_code,completed_stop_order,source_event_key
EV-00040,ANT-FRZ-0014,PICKED_UP,PICKED_UP,2026-09-18T12:47:00.000Z,,0,ANT-FRZ-0014-00
EV-00041,ANT-FRZ-0014,ARRIVED_HUB,AT_HUB,2026-09-18T13:45:00.000Z,BKS,1,ANT-FRZ-0014-01
EV-00042,ANT-FRZ-0014,LEFT_HUB,IN_TRANSIT,2026-09-18T14:06:00.000Z,BKS,1,ANT-FRZ-0014-02
EV-00043,ANT-FRZ-0014,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:54:00.000Z,,1,ANT-FRZ-0014-03
EV-00044,ANT-FRZ-0014,DELIVERED,DELIVERED,2026-09-18T16:02:00.000Z,,2,ANT-FRZ-0014-04
EV-00045,ANT-FRZ-0015,PICKED_UP,PICKED_UP,2026-09-18T14:40:00.000Z,,0,ANT-FRZ-0015-00
EV-00046,ANT-FRZ-0015,ARRIVED_HUB,AT_HUB,2026-09-18T15:39:00.000Z,JKT-BRT,1,ANT-FRZ-0015-01
EV-00047,ANT-FRZ-0015,LEFT_HUB,IN_TRANSIT,2026-09-18T16:01:00.000Z,JKT-BRT,1,ANT-FRZ-0015-02
EV-00048,ANT-FRZ-0016,PICKED_UP,PICKED_UP,2026-09-18T10:29:00.000Z,,0,ANT-FRZ-0016-00
EV-00049,ANT-FRZ-0016,ARRIVED_HUB,AT_HUB,2026-09-18T11:29:00.000Z,BKS,1,ANT-FRZ-0016-01
EV-00050,ANT-FRZ-0016,LEFT_HUB,IN_TRANSIT,2026-09-18T11:52:00.000Z,BKS,1,ANT-FRZ-0016-02
EV-00051,ANT-FRZ-0016,ARRIVED_HUB,AT_HUB,2026-09-18T12:37:00.000Z,TGR,2,ANT-FRZ-0016-03
EV-00052,ANT-FRZ-0016,LEFT_HUB,IN_TRANSIT,2026-09-18T13:01:00.000Z,TGR,2,ANT-FRZ-0016-04
EV-00053,ANT-FRZ-0016,ARRIVED_HUB,AT_HUB,2026-09-18T13:49:00.000Z,TGS,3,ANT-FRZ-0016-05
EV-00054,ANT-FRZ-0016,LEFT_HUB,IN_TRANSIT,2026-09-18T14:14:00.000Z,TGS,3,ANT-FRZ-0016-06
EV-00055,ANT-FRZ-0016,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:50:00.000Z,,3,ANT-FRZ-0016-07
EV-00056,ANT-FRZ-0016,DELIVERED,DELIVERED,2026-09-18T16:00:00.000Z,,4,ANT-FRZ-0016-08
EV-00057,ANT-FRZ-0017,PICKED_UP,PICKED_UP,2026-09-18T14:34:00.000Z,,0,ANT-FRZ-0017-00
EV-00058,ANT-FRZ-0017,ARRIVED_HUB,AT_HUB,2026-09-18T15:35:00.000Z,TGR,1,ANT-FRZ-0017-01
EV-00059,ANT-FRZ-0017,LEFT_HUB,IN_TRANSIT,2026-09-18T15:59:00.000Z,TGR,1,ANT-FRZ-0017-02
EV-00060,ANT-FRZ-0018,PICKED_UP,PICKED_UP,2026-09-18T12:41:00.000Z,,0,ANT-FRZ-0018-00
EV-00061,ANT-FRZ-0018,ARRIVED_HUB,AT_HUB,2026-09-18T13:43:00.000Z,JKT-TMR,1,ANT-FRZ-0018-01
EV-00062,ANT-FRZ-0018,LEFT_HUB,IN_TRANSIT,2026-09-18T14:08:00.000Z,JKT-TMR,1,ANT-FRZ-0018-02
EV-00063,ANT-FRZ-0018,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:46:00.000Z,,1,ANT-FRZ-0018-03
EV-00064,ANT-FRZ-0018,DELIVERED,DELIVERED,2026-09-18T15:58:00.000Z,,2,ANT-FRZ-0018-04
EV-00065,ANT-FRZ-0019,PICKED_UP,PICKED_UP,2026-09-18T14:46:00.000Z,,0,ANT-FRZ-0019-00
EV-00066,ANT-FRZ-0019,ARRIVED_HUB,AT_HUB,2026-09-18T15:31:00.000Z,JKT-SLT,1,ANT-FRZ-0019-01
EV-00067,ANT-FRZ-0019,LEFT_HUB,IN_TRANSIT,2026-09-18T15:57:00.000Z,JKT-SLT,1,ANT-FRZ-0019-02
EV-00068,ANT-FRZ-0020,PICKED_UP,PICKED_UP,2026-09-18T14:46:00.000Z,,0,ANT-FRZ-0020-00
EV-00069,ANT-FRZ-0021,PICKED_UP,PICKED_UP,2026-09-18T11:58:00.000Z,,0,ANT-FRZ-0021-00
EV-00070,ANT-FRZ-0021,ARRIVED_HUB,AT_HUB,2026-09-18T12:45:00.000Z,JKT-PST,1,ANT-FRZ-0021-01
EV-00071,ANT-FRZ-0021,LEFT_HUB,IN_TRANSIT,2026-09-18T13:13:00.000Z,JKT-PST,1,ANT-FRZ-0021-02
EV-00072,ANT-FRZ-0021,ARRIVED_HUB,AT_HUB,2026-09-18T14:03:00.000Z,JKT-TMR,2,ANT-FRZ-0021-03
EV-00073,ANT-FRZ-0021,LEFT_HUB,IN_TRANSIT,2026-09-18T14:32:00.000Z,JKT-TMR,2,ANT-FRZ-0021-04
EV-00074,ANT-FRZ-0021,ARRIVED_HUB,AT_HUB,2026-09-18T15:25:00.000Z,JKT-SLT,3,ANT-FRZ-0021-05
EV-00075,ANT-FRZ-0021,LEFT_HUB,IN_TRANSIT,2026-09-18T15:55:00.000Z,JKT-SLT,3,ANT-FRZ-0021-06
EV-00076,ANT-FRZ-0022,PICKED_UP,PICKED_UP,2026-09-18T14:40:00.000Z,,0,ANT-FRZ-0022-00
EV-00077,ANT-FRZ-0023,PICKED_UP,PICKED_UP,2026-09-18T12:28:00.000Z,,0,ANT-FRZ-0023-00
EV-00078,ANT-FRZ-0023,ARRIVED_HUB,AT_HUB,2026-09-18T13:17:00.000Z,BGR,1,ANT-FRZ-0023-01
EV-00079,ANT-FRZ-0023,LEFT_HUB,IN_TRANSIT,2026-09-18T13:47:00.000Z,BGR,1,ANT-FRZ-0023-02
EV-00080,ANT-FRZ-0023,ARRIVED_HUB,AT_HUB,2026-09-18T14:39:00.000Z,TGR,2,ANT-FRZ-0023-03
EV-00081,ANT-FRZ-0023,LEFT_HUB,IN_TRANSIT,2026-09-18T15:10:00.000Z,TGR,2,ANT-FRZ-0023-04
EV-00082,ANT-FRZ-0023,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:53:00.000Z,,2,ANT-FRZ-0023-05
EV-00083,ANT-FRZ-0024,PICKED_UP,PICKED_UP,2026-09-18T14:34:00.000Z,,0,ANT-FRZ-0024-00
EV-00084,ANT-FRZ-0025,PICKED_UP,PICKED_UP,2026-09-18T12:52:00.000Z,,0,ANT-FRZ-0025-00
EV-00085,ANT-FRZ-0025,ARRIVED_HUB,AT_HUB,2026-09-18T13:43:00.000Z,JKT-BRT,1,ANT-FRZ-0025-01
EV-00086,ANT-FRZ-0025,LEFT_HUB,IN_TRANSIT,2026-09-18T14:03:00.000Z,JKT-BRT,1,ANT-FRZ-0025-02
EV-00087,ANT-FRZ-0025,ARRIVED_HUB,AT_HUB,2026-09-18T14:57:00.000Z,JKT-TMR,2,ANT-FRZ-0025-03
EV-00088,ANT-FRZ-0025,LEFT_HUB,IN_TRANSIT,2026-09-18T15:18:00.000Z,JKT-TMR,2,ANT-FRZ-0025-04
EV-00089,ANT-FRZ-0025,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T16:03:00.000Z,,2,ANT-FRZ-0025-05
EV-00090,ANT-FRZ-0026,PICKED_UP,PICKED_UP,2026-09-18T13:54:00.000Z,,0,ANT-FRZ-0026-00
EV-00091,ANT-FRZ-0026,ARRIVED_HUB,AT_HUB,2026-09-18T14:46:00.000Z,BKS,1,ANT-FRZ-0026-01
EV-00092,ANT-FRZ-0026,LEFT_HUB,IN_TRANSIT,2026-09-18T15:07:00.000Z,BKS,1,ANT-FRZ-0026-02
EV-00093,ANT-FRZ-0026,ARRIVED_HUB,AT_HUB,2026-09-18T16:02:00.000Z,TGR,2,ANT-FRZ-0026-03
EV-00094,ANT-FRZ-0027,PICKED_UP,PICKED_UP,2026-09-18T12:40:00.000Z,,0,ANT-FRZ-0027-00
EV-00095,ANT-FRZ-0027,ARRIVED_HUB,AT_HUB,2026-09-18T13:33:00.000Z,TGR,1,ANT-FRZ-0027-01
EV-00096,ANT-FRZ-0027,LEFT_HUB,IN_TRANSIT,2026-09-18T13:55:00.000Z,TGR,1,ANT-FRZ-0027-02
EV-00097,ANT-FRZ-0027,ARRIVED_HUB,AT_HUB,2026-09-18T14:51:00.000Z,BGR,2,ANT-FRZ-0027-03
EV-00098,ANT-FRZ-0027,LEFT_HUB,IN_TRANSIT,2026-09-18T15:14:00.000Z,BGR,2,ANT-FRZ-0027-04
EV-00099,ANT-FRZ-0027,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T16:01:00.000Z,,2,ANT-FRZ-0027-05
EV-00100,ANT-FRZ-0028,PICKED_UP,PICKED_UP,2026-09-18T15:06:00.000Z,,0,ANT-FRZ-0028-00
EV-00101,ANT-FRZ-0028,ARRIVED_HUB,AT_HUB,2026-09-18T16:00:00.000Z,JKT-TMR,1,ANT-FRZ-0028-01
EV-00102,ANT-FRZ-0029,PICKED_UP,PICKED_UP,2026-09-18T11:40:00.000Z,,0,ANT-FRZ-0029-00
EV-00103,ANT-FRZ-0029,ARRIVED_HUB,AT_HUB,2026-09-18T12:35:00.000Z,JKT-SLT,1,ANT-FRZ-0029-01
EV-00104,ANT-FRZ-0029,LEFT_HUB,IN_TRANSIT,2026-09-18T12:59:00.000Z,JKT-SLT,1,ANT-FRZ-0029-02
EV-00105,ANT-FRZ-0029,ARRIVED_HUB,AT_HUB,2026-09-18T13:57:00.000Z,JKT-PST,2,ANT-FRZ-0029-03
EV-00106,ANT-FRZ-0029,LEFT_HUB,IN_TRANSIT,2026-09-18T14:22:00.000Z,JKT-PST,2,ANT-FRZ-0029-04
EV-00107,ANT-FRZ-0029,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:57:00.000Z,,2,ANT-FRZ-0029-05
EV-00108,ANT-FRZ-0029,DELIVERED,DELIVERED,2026-09-18T15:59:00.000Z,,3,ANT-FRZ-0029-06
EV-00109,ANT-FRZ-0030,PICKED_UP,PICKED_UP,2026-09-18T15:02:00.000Z,,0,ANT-FRZ-0030-00
EV-00110,ANT-FRZ-0030,ARRIVED_HUB,AT_HUB,2026-09-18T15:58:00.000Z,TGR,1,ANT-FRZ-0030-01
EV-00111,ANT-FRZ-0031,PICKED_UP,PICKED_UP,2026-09-18T10:13:00.000Z,,0,ANT-FRZ-0031-00
EV-00112,ANT-FRZ-0031,ARRIVED_HUB,AT_HUB,2026-09-18T11:10:00.000Z,JKT-PST,1,ANT-FRZ-0031-01
EV-00113,ANT-FRZ-0031,LEFT_HUB,IN_TRANSIT,2026-09-18T11:36:00.000Z,JKT-PST,1,ANT-FRZ-0031-02
EV-00114,ANT-FRZ-0031,ARRIVED_HUB,AT_HUB,2026-09-18T12:36:00.000Z,JKT-TMR,2,ANT-FRZ-0031-03
EV-00115,ANT-FRZ-0031,LEFT_HUB,IN_TRANSIT,2026-09-18T13:03:00.000Z,JKT-TMR,2,ANT-FRZ-0031-04
EV-00116,ANT-FRZ-0031,ARRIVED_HUB,AT_HUB,2026-09-18T13:48:00.000Z,JKT-SLT,3,ANT-FRZ-0031-05
EV-00117,ANT-FRZ-0031,LEFT_HUB,IN_TRANSIT,2026-09-18T14:16:00.000Z,JKT-SLT,3,ANT-FRZ-0031-06
EV-00118,ANT-FRZ-0031,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:53:00.000Z,,3,ANT-FRZ-0031-07
EV-00119,ANT-FRZ-0031,DELIVERED,DELIVERED,2026-09-18T15:57:00.000Z,,4,ANT-FRZ-0031-08
EV-00120,ANT-FRZ-0032,PICKED_UP,PICKED_UP,2026-09-18T14:58:00.000Z,,0,ANT-FRZ-0032-00
EV-00121,ANT-FRZ-0032,ARRIVED_HUB,AT_HUB,2026-09-18T15:56:00.000Z,JKT-UTR,1,ANT-FRZ-0032-01
EV-00122,ANT-FRZ-0033,PICKED_UP,PICKED_UP,2026-09-18T11:12:00.000Z,,0,ANT-FRZ-0033-00
EV-00123,ANT-FRZ-0033,ARRIVED_HUB,AT_HUB,2026-09-18T12:11:00.000Z,BGR,1,ANT-FRZ-0033-01
EV-00124,ANT-FRZ-0033,LEFT_HUB,IN_TRANSIT,2026-09-18T12:39:00.000Z,BGR,1,ANT-FRZ-0033-02
EV-00125,ANT-FRZ-0033,ARRIVED_HUB,AT_HUB,2026-09-18T13:41:00.000Z,TGR,2,ANT-FRZ-0033-03
EV-00126,ANT-FRZ-0033,LEFT_HUB,IN_TRANSIT,2026-09-18T14:10:00.000Z,TGR,2,ANT-FRZ-0033-04
EV-00127,ANT-FRZ-0033,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:49:00.000Z,,2,ANT-FRZ-0033-05
EV-00128,ANT-FRZ-0033,DELIVERED,DELIVERED,2026-09-18T15:55:00.000Z,,3,ANT-FRZ-0033-06
EV-00129,ANT-FRZ-0034,PICKED_UP,PICKED_UP,2026-09-18T14:25:00.000Z,,0,ANT-FRZ-0034-00
EV-00130,ANT-FRZ-0034,ARRIVED_HUB,AT_HUB,2026-09-18T15:25:00.000Z,BKS,1,ANT-FRZ-0034-01
EV-00131,ANT-FRZ-0034,LEFT_HUB,IN_TRANSIT,2026-09-18T15:54:00.000Z,BKS,1,ANT-FRZ-0034-02
EV-00132,ANT-FRZ-0035,PICKED_UP,PICKED_UP,2026-09-18T11:16:00.000Z,,0,ANT-FRZ-0035-00
EV-00133,ANT-FRZ-0035,ARRIVED_HUB,AT_HUB,2026-09-18T12:17:00.000Z,JKT-BRT,1,ANT-FRZ-0035-01
EV-00134,ANT-FRZ-0035,LEFT_HUB,IN_TRANSIT,2026-09-18T12:47:00.000Z,JKT-BRT,1,ANT-FRZ-0035-02
EV-00135,ANT-FRZ-0035,ARRIVED_HUB,AT_HUB,2026-09-18T13:33:00.000Z,JKT-TMR,2,ANT-FRZ-0035-03
EV-00136,ANT-FRZ-0035,LEFT_HUB,IN_TRANSIT,2026-09-18T14:04:00.000Z,JKT-TMR,2,ANT-FRZ-0035-04
EV-00137,ANT-FRZ-0035,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:45:00.000Z,,2,ANT-FRZ-0035-05
EV-00138,ANT-FRZ-0035,DELIVERED,DELIVERED,2026-09-18T15:53:00.000Z,,3,ANT-FRZ-0035-06
EV-00139,ANT-FRZ-0036,PICKED_UP,PICKED_UP,2026-09-18T12:01:00.000Z,,0,ANT-FRZ-0036-00
EV-00140,ANT-FRZ-0036,ARRIVED_HUB,AT_HUB,2026-09-18T13:03:00.000Z,BKS,1,ANT-FRZ-0036-01
EV-00141,ANT-FRZ-0036,LEFT_HUB,IN_TRANSIT,2026-09-18T13:34:00.000Z,BKS,1,ANT-FRZ-0036-02
EV-00142,ANT-FRZ-0036,ARRIVED_HUB,AT_HUB,2026-09-18T14:21:00.000Z,TGR,2,ANT-FRZ-0036-03
EV-00143,ANT-FRZ-0036,LEFT_HUB,IN_TRANSIT,2026-09-18T14:41:00.000Z,TGR,2,ANT-FRZ-0036-04
EV-00144,ANT-FRZ-0036,ARRIVED_HUB,AT_HUB,2026-09-18T15:31:00.000Z,TGS,3,ANT-FRZ-0036-05
EV-00145,ANT-FRZ-0036,LEFT_HUB,IN_TRANSIT,2026-09-18T15:52:00.000Z,TGS,3,ANT-FRZ-0036-06
EV-00146,ANT-FRZ-0037,PICKED_UP,PICKED_UP,2026-09-18T14:43:00.000Z,,0,ANT-FRZ-0037-00
EV-00147,ANT-FRZ-0038,PICKED_UP,PICKED_UP,2026-09-18T14:55:00.000Z,,0,ANT-FRZ-0038-00
EV-00148,ANT-FRZ-0038,ARRIVED_HUB,AT_HUB,2026-09-18T15:41:00.000Z,JKT-TMR,1,ANT-FRZ-0038-01
EV-00149,ANT-FRZ-0038,LEFT_HUB,IN_TRANSIT,2026-09-18T16:02:00.000Z,JKT-TMR,1,ANT-FRZ-0038-02
EV-00150,ANT-FRZ-0039,PICKED_UP,PICKED_UP,2026-09-18T16:01:00.000Z,,0,ANT-FRZ-0039-00
EV-00151,ANT-FRZ-0040,PICKED_UP,PICKED_UP,2026-09-18T14:03:00.000Z,,0,ANT-FRZ-0040-00
EV-00152,ANT-FRZ-0040,ARRIVED_HUB,AT_HUB,2026-09-18T14:51:00.000Z,TGR,1,ANT-FRZ-0040-01
EV-00153,ANT-FRZ-0040,LEFT_HUB,IN_TRANSIT,2026-09-18T15:14:00.000Z,TGR,1,ANT-FRZ-0040-02
EV-00154,ANT-FRZ-0040,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T16:00:00.000Z,,1,ANT-FRZ-0040-03
EV-00155,ANT-FRZ-0041,PICKED_UP,PICKED_UP,2026-09-18T15:59:00.000Z,,0,ANT-FRZ-0041-00
EV-00156,ANT-FRZ-0042,PICKED_UP,PICKED_UP,2026-09-18T13:55:00.000Z,,0,ANT-FRZ-0042-00
EV-00157,ANT-FRZ-0042,ARRIVED_HUB,AT_HUB,2026-09-18T14:45:00.000Z,JKT-UTR,1,ANT-FRZ-0042-01
EV-00158,ANT-FRZ-0042,LEFT_HUB,IN_TRANSIT,2026-09-18T15:10:00.000Z,JKT-UTR,1,ANT-FRZ-0042-02
EV-00159,ANT-FRZ-0042,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:58:00.000Z,,1,ANT-FRZ-0042-03
EV-00160,ANT-FRZ-0043,PICKED_UP,PICKED_UP,2026-09-18T15:06:00.000Z,,0,ANT-FRZ-0043-00
EV-00161,ANT-FRZ-0043,ARRIVED_HUB,AT_HUB,2026-09-18T15:57:00.000Z,BGR,1,ANT-FRZ-0043-01
EV-00162,ANT-FRZ-0044,PICKED_UP,PICKED_UP,2026-09-18T14:01:00.000Z,,0,ANT-FRZ-0044-00
EV-00163,ANT-FRZ-0044,ARRIVED_HUB,AT_HUB,2026-09-18T14:53:00.000Z,BKS,1,ANT-FRZ-0044-01
EV-00164,ANT-FRZ-0044,LEFT_HUB,IN_TRANSIT,2026-09-18T15:20:00.000Z,BKS,1,ANT-FRZ-0044-02
EV-00165,ANT-FRZ-0044,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:56:00.000Z,,1,ANT-FRZ-0044-03
EV-00166,ANT-FRZ-0045,PICKED_UP,PICKED_UP,2026-09-18T15:02:00.000Z,,0,ANT-FRZ-0045-00
EV-00167,ANT-FRZ-0045,ARRIVED_HUB,AT_HUB,2026-09-18T15:55:00.000Z,JKT-BRT,1,ANT-FRZ-0045-01
EV-00168,ANT-FRZ-0046,PICKED_UP,PICKED_UP,2026-09-18T10:55:00.000Z,,0,ANT-FRZ-0046-00
EV-00169,ANT-FRZ-0046,ARRIVED_HUB,AT_HUB,2026-09-18T11:49:00.000Z,BKS,1,ANT-FRZ-0046-01
EV-00170,ANT-FRZ-0046,LEFT_HUB,IN_TRANSIT,2026-09-18T12:18:00.000Z,BKS,1,ANT-FRZ-0046-02
EV-00171,ANT-FRZ-0046,ARRIVED_HUB,AT_HUB,2026-09-18T13:15:00.000Z,TGR,2,ANT-FRZ-0046-03
EV-00172,ANT-FRZ-0046,LEFT_HUB,IN_TRANSIT,2026-09-18T13:45:00.000Z,TGR,2,ANT-FRZ-0046-04
EV-00173,ANT-FRZ-0046,ARRIVED_HUB,AT_HUB,2026-09-18T14:45:00.000Z,TGS,3,ANT-FRZ-0046-05
EV-00174,ANT-FRZ-0046,LEFT_HUB,IN_TRANSIT,2026-09-18T15:16:00.000Z,TGS,3,ANT-FRZ-0046-06
EV-00175,ANT-FRZ-0046,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:54:00.000Z,,3,ANT-FRZ-0046-07
EV-00176,ANT-FRZ-0047,PICKED_UP,PICKED_UP,2026-09-18T14:58:00.000Z,,0,ANT-FRZ-0047-00
EV-00177,ANT-FRZ-0047,ARRIVED_HUB,AT_HUB,2026-09-18T15:53:00.000Z,TGR,1,ANT-FRZ-0047-01
EV-00178,ANT-FRZ-0048,PICKED_UP,PICKED_UP,2026-09-18T12:45:00.000Z,,0,ANT-FRZ-0048-00
EV-00179,ANT-FRZ-0048,ARRIVED_HUB,AT_HUB,2026-09-18T13:41:00.000Z,JKT-TMR,1,ANT-FRZ-0048-01
EV-00180,ANT-FRZ-0048,LEFT_HUB,IN_TRANSIT,2026-09-18T14:12:00.000Z,JKT-TMR,1,ANT-FRZ-0048-02
EV-00181,ANT-FRZ-0048,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:52:00.000Z,,1,ANT-FRZ-0048-03
EV-00182,ANT-FRZ-0048,DELIVERED,DELIVERED,2026-09-18T15:52:00.000Z,,2,ANT-FRZ-0048-04
EV-00183,ANT-FRZ-0049,PICKED_UP,PICKED_UP,2026-09-18T15:06:00.000Z,,0,ANT-FRZ-0049-00
EV-00184,ANT-FRZ-0049,ARRIVED_HUB,AT_HUB,2026-09-18T16:03:00.000Z,JKT-SLT,1,ANT-FRZ-0049-01
EV-00185,ANT-FRZ-0050,PICKED_UP,PICKED_UP,2026-09-18T12:59:00.000Z,,0,ANT-FRZ-0050-00
EV-00186,ANT-FRZ-0050,ARRIVED_HUB,AT_HUB,2026-09-18T13:57:00.000Z,TGR,1,ANT-FRZ-0050-01
EV-00187,ANT-FRZ-0050,LEFT_HUB,IN_TRANSIT,2026-09-18T14:18:00.000Z,TGR,1,ANT-FRZ-0050-02
EV-00188,ANT-FRZ-0050,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:00:00.000Z,,1,ANT-FRZ-0050-03
EV-00189,ANT-FRZ-0050,DELIVERED,DELIVERED,2026-09-18T16:02:00.000Z,,2,ANT-FRZ-0050-04
