awb,pickup_area,pickup_point,delivery_area,delivery_point,current_stage,pickup_at,last_stage_at,completed_stop_order,route_hub_count,scenario_key
ANT-FRZ-0011,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",AT_HUB,2026-09-18T13:30:00.000Z,2026-09-18T15:53:00.000Z,2,3,AT_HUB_3HUB
ANT-FRZ-0012,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",DELIVERED,2026-09-18T12:33:00.000Z,2026-09-18T15:52:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0013,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",AT_HUB,2026-09-18T15:06:00.000Z,2026-09-18T16:03:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0014,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",DELIVERED,2026-09-18T12:47:00.000Z,2026-09-18T16:02:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0015,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",IN_TRANSIT,2026-09-18T14:40:00.000Z,2026-09-18T16:01:00.000Z,1,2,IN_TRANSIT_2HUB
ANT-FRZ-0016,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",DELIVERED,2026-09-18T10:29:00.000Z,2026-09-18T16:00:00.000Z,4,3,DELIVERED_3HUB
ANT-FRZ-0017,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",IN_TRANSIT,2026-09-18T14:34:00.000Z,2026-09-18T15:59:00.000Z,1,2,IN_TRANSIT_2HUB
ANT-FRZ-0018,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",DELIVERED,2026-09-18T12:41:00.000Z,2026-09-18T15:58:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0019,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",IN_TRANSIT,2026-09-18T14:46:00.000Z,2026-09-18T15:57:00.000Z,1,2,IN_TRANSIT_2HUB
ANT-FRZ-0020,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",PICKED_UP,2026-09-18T14:46:00.000Z,2026-09-18T14:46:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0021,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",IN_TRANSIT,2026-09-18T11:58:00.000Z,2026-09-18T15:55:00.000Z,3,3,IN_TRANSIT_3HUB
ANT-FRZ-0022,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",PICKED_UP,2026-09-18T14:40:00.000Z,2026-09-18T14:40:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0023,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",OUT_FOR_DELIVERY,2026-09-18T12:28:00.000Z,2026-09-18T15:53:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0024,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",PICKED_UP,2026-09-18T14:34:00.000Z,2026-09-18T14:34:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0025,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",OUT_FOR_DELIVERY,2026-09-18T12:52:00.000Z,2026-09-18T16:03:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0026,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",AT_HUB,2026-09-18T13:54:00.000Z,2026-09-18T16:02:00.000Z,2,3,AT_HUB_3HUB
ANT-FRZ-0027,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",OUT_FOR_DELIVERY,2026-09-18T12:40:00.000Z,2026-09-18T16:01:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0028,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",AT_HUB,2026-09-18T15:06:00.000Z,2026-09-18T16:00:00.000Z,1,1,AT_HUB_1HUB
ANT-FRZ-0029,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",DELIVERED,2026-09-18T11:40:00.000Z,2026-09-18T15:59:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0030,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",AT_HUB,2026-09-18T15:02:00.000Z,2026-09-18T15:58:00.000Z,1,1,AT_HUB_1HUB
ANT-FRZ-0031,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",DELIVERED,2026-09-18T10:13:00.000Z,2026-09-18T15:57:00.000Z,4,3,DELIVERED_3HUB
ANT-FRZ-0032,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",AT_HUB,2026-09-18T14:58:00.000Z,2026-09-18T15:56:00.000Z,1,1,AT_HUB_1HUB
ANT-FRZ-0033,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",DELIVERED,2026-09-18T11:12:00.000Z,2026-09-18T15:55:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0034,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",IN_TRANSIT,2026-09-18T14:25:00.000Z,2026-09-18T15:54:00.000Z,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0035,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",DELIVERED,2026-09-18T11:16:00.000Z,2026-09-18T15:53:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0036,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",IN_TRANSIT,2026-09-18T12:01:00.000Z,2026-09-18T15:52:00.000Z,3,3,IN_TRANSIT_3HUB
ANT-FRZ-0037,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",PICKED_UP,2026-09-18T14:43:00.000Z,2026-09-18T14:43:00.000Z,0,2,PICKED_UP_2HUB
ANT-FRZ-0038,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",IN_TRANSIT,2026-09-18T14:55:00.000Z,2026-09-18T16:02:00.000Z,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0039,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",PICKED_UP,2026-09-18T16:01:00.000Z,2026-09-18T16:01:00.000Z,0,2,PICKED_UP_2HUB
ANT-FRZ-0040,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",OUT_FOR_DELIVERY,2026-09-18T14:03:00.000Z,2026-09-18T16:00:00.000Z,1,1,OUT_FOR_DELIVERY_1HUB
ANT-FRZ-0041,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",PICKED_UP,2026-09-18T15:59:00.000Z,2026-09-18T15:59:00.000Z,0,3,PICKED_UP_3HUB
ANT-FRZ-0042,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",OUT_FOR_DELIVERY,2026-09-18T13:55:00.000Z,2026-09-18T15:58:00.000Z,1,1,OUT_FOR_DELIVERY_1HUB
ANT-FRZ-0043,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",AT_HUB,2026-09-18T15:06:00.000Z,2026-09-18T15:57:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0044,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",OUT_FOR_DELIVERY,2026-09-18T14:01:00.000Z,2026-09-18T15:56:00.000Z,1,1,OUT_FOR_DELIVERY_1HUB
ANT-FRZ-0045,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",AT_HUB,2026-09-18T15:02:00.000Z,2026-09-18T15:55:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0046,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",OUT_FOR_DELIVERY,2026-09-18T10:55:00.000Z,2026-09-18T15:54:00.000Z,3,3,OUT_FOR_DELIVERY_3HUB
ANT-FRZ-0047,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",AT_HUB,2026-09-18T14:58:00.000Z,2026-09-18T15:53:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0048,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",DELIVERED,2026-09-18T12:45:00.000Z,2026-09-18T15:52:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0049,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",AT_HUB,2026-09-18T15:06:00.000Z,2026-09-18T16:03:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0050,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",DELIVERED,2026-09-18T12:59:00.000Z,2026-09-18T16:02:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0051,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",IN_TRANSIT,2026-09-18T12:04:00.000Z,2026-09-18T16:01:00.000Z,3,3,IN_TRANSIT_3HUB
ANT-FRZ-0052,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",DELIVERED,2026-09-18T12:49:00.000Z,2026-09-18T16:00:00.000Z,2,1,DELIVERED_1HUB
ANT-FRZ-0053,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",IN_TRANSIT,2026-09-18T14:34:00.000Z,2026-09-18T15:59:00.000Z,1,2,IN_TRANSIT_2HUB
ANT-FRZ-0054,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",PICKED_UP,2026-09-18T15:58:00.000Z,2026-09-18T15:58:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0055,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",IN_TRANSIT,2026-09-18T14:46:00.000Z,2026-09-18T15:57:00.000Z,1,2,IN_TRANSIT_2HUB
ANT-FRZ-0056,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",PICKED_UP,2026-09-18T15:56:00.000Z,2026-09-18T15:56:00.000Z,0,3,PICKED_UP_3HUB
ANT-FRZ-0057,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",OUT_FOR_DELIVERY,2026-09-18T12:46:00.000Z,2026-09-18T15:55:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0058,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",PICKED_UP,2026-09-18T15:54:00.000Z,2026-09-18T15:54:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0059,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",OUT_FOR_DELIVERY,2026-09-18T12:34:00.000Z,2026-09-18T15:53:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0060,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",PICKED_UP,2026-09-18T15:52:00.000Z,2026-09-18T15:52:00.000Z,0,1,PICKED_UP_1HUB
ANT-FRZ-0061,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",OUT_FOR_DELIVERY,2026-09-18T11:39:00.000Z,2026-09-18T16:03:00.000Z,3,3,OUT_FOR_DELIVERY_3HUB
ANT-FRZ-0062,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",AT_HUB,2026-09-18T15:10:00.000Z,2026-09-18T16:02:00.000Z,1,1,AT_HUB_1HUB
ANT-FRZ-0063,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",OUT_FOR_DELIVERY,2026-09-18T12:46:00.000Z,2026-09-18T16:01:00.000Z,2,2,OUT_FOR_DELIVERY_2HUB
ANT-FRZ-0064,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",AT_HUB,2026-09-18T15:06:00.000Z,2026-09-18T16:00:00.000Z,1,1,AT_HUB_1HUB
ANT-FRZ-0065,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",DELIVERED,2026-09-18T11:38:00.000Z,2026-09-18T15:59:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0066,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",AT_HUB,2026-09-18T12:10:00.000Z,2026-09-18T15:58:00.000Z,3,3,AT_HUB_3HUB
ANT-FRZ-0067,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",DELIVERED,2026-09-18T11:24:00.000Z,2026-09-18T15:57:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0068,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",IN_TRANSIT,2026-09-18T14:31:00.000Z,2026-09-18T15:56:00.000Z,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0069,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",DELIVERED,2026-09-18T11:10:00.000Z,2026-09-18T15:55:00.000Z,3,2,DELIVERED_2HUB
ANT-FRZ-0070,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",IN_TRANSIT,2026-09-18T14:25:00.000Z,2026-09-18T15:54:00.000Z,1,1,IN_TRANSIT_1HUB
