route_stop_id,awb,stop_order,point_type,hub_code,display_name,latitude,longitude
RS-00032,ANT-FRZ-0009,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00033,ANT-FRZ-0009,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00034,ANT-FRZ-0009,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00035,ANT-FRZ-0009,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00036,ANT-FRZ-0010,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00037,ANT-FRZ-0010,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00038,ANT-FRZ-0010,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00039,ANT-FRZ-0011,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00040,ANT-FRZ-0011,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00041,ANT-FRZ-0011,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00042,ANT-FRZ-0011,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00043,ANT-FRZ-0011,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00044,ANT-FRZ-0012,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00045,ANT-FRZ-0012,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00046,ANT-FRZ-0012,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00047,ANT-FRZ-0013,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00048,ANT-FRZ-0013,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00049,ANT-FRZ-0013,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00050,ANT-FRZ-0013,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00051,ANT-FRZ-0014,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00052,ANT-FRZ-0014,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00053,ANT-FRZ-0014,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00054,ANT-FRZ-0015,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00055,ANT-FRZ-0015,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00056,ANT-FRZ-0015,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00057,ANT-FRZ-0015,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00058,ANT-FRZ-0016,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00059,ANT-FRZ-0016,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00060,ANT-FRZ-0016,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00061,ANT-FRZ-0016,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00062,ANT-FRZ-0016,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00063,ANT-FRZ-0017,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00064,ANT-FRZ-0017,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00065,ANT-FRZ-0017,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00066,ANT-FRZ-0017,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00067,ANT-FRZ-0018,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00068,ANT-FRZ-0018,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00069,ANT-FRZ-0018,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00070,ANT-FRZ-0019,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00071,ANT-FRZ-0019,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00072,ANT-FRZ-0019,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00073,ANT-FRZ-0019,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00074,ANT-FRZ-0020,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00075,ANT-FRZ-0020,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00076,ANT-FRZ-0020,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00077,ANT-FRZ-0021,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00078,ANT-FRZ-0021,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00079,ANT-FRZ-0021,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00080,ANT-FRZ-0021,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00081,ANT-FRZ-0021,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00082,ANT-FRZ-0022,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00083,ANT-FRZ-0022,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00084,ANT-FRZ-0022,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00085,ANT-FRZ-0023,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00086,ANT-FRZ-0023,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00087,ANT-FRZ-0023,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00088,ANT-FRZ-0023,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00089,ANT-FRZ-0024,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00090,ANT-FRZ-0024,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00091,ANT-FRZ-0024,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00092,ANT-FRZ-0025,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00093,ANT-FRZ-0025,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00094,ANT-FRZ-0025,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00095,ANT-FRZ-0025,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00096,ANT-FRZ-0026,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00097,ANT-FRZ-0026,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00098,ANT-FRZ-0026,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00099,ANT-FRZ-0026,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00100,ANT-FRZ-0026,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00101,ANT-FRZ-0027,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00102,ANT-FRZ-0027,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00103,ANT-FRZ-0027,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00104,ANT-FRZ-0027,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00105,ANT-FRZ-0028,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00106,ANT-FRZ-0028,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00107,ANT-FRZ-0028,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00108,ANT-FRZ-0029,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00109,ANT-FRZ-0029,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00110,ANT-FRZ-0029,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00111,ANT-FRZ-0029,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00112,ANT-FRZ-0030,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00113,ANT-FRZ-0030,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00114,ANT-FRZ-0030,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00115,ANT-FRZ-0031,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00116,ANT-FRZ-0031,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00117,ANT-FRZ-0031,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00118,ANT-FRZ-0031,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00119,ANT-FRZ-0031,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00120,ANT-FRZ-0032,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00121,ANT-FRZ-0032,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00122,ANT-FRZ-0032,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00123,ANT-FRZ-0033,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00124,ANT-FRZ-0033,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00125,ANT-FRZ-0033,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00126,ANT-FRZ-0033,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00127,ANT-FRZ-0034,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00128,ANT-FRZ-0034,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00129,ANT-FRZ-0034,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00130,ANT-FRZ-0035,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00131,ANT-FRZ-0035,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00132,ANT-FRZ-0035,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00133,ANT-FRZ-0035,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00134,ANT-FRZ-0036,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00135,ANT-FRZ-0036,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00136,ANT-FRZ-0036,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00137,ANT-FRZ-0036,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00138,ANT-FRZ-0036,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00139,ANT-FRZ-0037,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00140,ANT-FRZ-0037,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00141,ANT-FRZ-0037,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00142,ANT-FRZ-0037,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00143,ANT-FRZ-0038,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00144,ANT-FRZ-0038,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00145,ANT-FRZ-0038,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00146,ANT-FRZ-0039,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00147,ANT-FRZ-0039,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00148,ANT-FRZ-0039,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00149,ANT-FRZ-0039,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00150,ANT-FRZ-0040,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00151,ANT-FRZ-0040,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00152,ANT-FRZ-0040,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00153,ANT-FRZ-0041,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00154,ANT-FRZ-0041,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00155,ANT-FRZ-0041,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00156,ANT-FRZ-0041,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00157,ANT-FRZ-0041,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00158,ANT-FRZ-0042,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00159,ANT-FRZ-0042,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00160,ANT-FRZ-0042,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00161,ANT-FRZ-0043,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00162,ANT-FRZ-0043,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00163,ANT-FRZ-0043,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00164,ANT-FRZ-0043,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00165,ANT-FRZ-0044,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00166,ANT-FRZ-0044,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00167,ANT-FRZ-0044,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00168,ANT-FRZ-0045,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00169,ANT-FRZ-0045,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00170,ANT-FRZ-0045,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00171,ANT-FRZ-0045,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00172,ANT-FRZ-0046,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00173,ANT-FRZ-0046,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00174,ANT-FRZ-0046,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00175,ANT-FRZ-0046,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00176,ANT-FRZ-0046,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00177,ANT-FRZ-0047,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00178,ANT-FRZ-0047,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00179,ANT-FRZ-0047,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00180,ANT-FRZ-0047,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00181,ANT-FRZ-0048,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00182,ANT-FRZ-0048,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00183,ANT-FRZ-0048,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00184,ANT-FRZ-0049,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00185,ANT-FRZ-0049,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00186,ANT-FRZ-0049,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00187,ANT-FRZ-0049,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00188,ANT-FRZ-0050,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00189,ANT-FRZ-0050,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00190,ANT-FRZ-0050,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00191,ANT-FRZ-0051,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00192,ANT-FRZ-0051,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00193,ANT-FRZ-0051,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00194,ANT-FRZ-0051,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00195,ANT-FRZ-0051,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00196,ANT-FRZ-0052,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00197,ANT-FRZ-0052,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00198,ANT-FRZ-0052,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00199,ANT-FRZ-0053,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00200,ANT-FRZ-0053,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00201,ANT-FRZ-0053,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00202,ANT-FRZ-0053,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00203,ANT-FRZ-0054,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00204,ANT-FRZ-0054,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00205,ANT-FRZ-0054,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00206,ANT-FRZ-0055,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00207,ANT-FRZ-0055,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00208,ANT-FRZ-0055,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00209,ANT-FRZ-0055,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00210,ANT-FRZ-0056,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00211,ANT-FRZ-0056,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00212,ANT-FRZ-0056,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00213,ANT-FRZ-0056,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00214,ANT-FRZ-0056,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00215,ANT-FRZ-0057,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00216,ANT-FRZ-0057,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00217,ANT-FRZ-0057,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00218,ANT-FRZ-0057,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00219,ANT-FRZ-0058,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00220,ANT-FRZ-0058,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00221,ANT-FRZ-0058,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00222,ANT-FRZ-0059,0,PICKUP,,"Penjemputan — Cilandak, Jakarta Selatan",-6.2435,106.7986
RS-00223,ANT-FRZ-0059,1,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00224,ANT-FRZ-0059,2,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00225,ANT-FRZ-0059,3,DELIVERY,,"Tujuan — Senen, Jakarta Pusat",-6.1894,106.84020000000001
RS-00226,ANT-FRZ-0060,0,PICKUP,,"Penjemputan — Beji, Depok",-6.3845,106.7822
RS-00227,ANT-FRZ-0060,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00228,ANT-FRZ-0060,2,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00229,ANT-FRZ-0061,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00230,ANT-FRZ-0061,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00231,ANT-FRZ-0061,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00232,ANT-FRZ-0061,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00233,ANT-FRZ-0061,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00234,ANT-FRZ-0062,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00235,ANT-FRZ-0062,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00236,ANT-FRZ-0062,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00237,ANT-FRZ-0063,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00238,ANT-FRZ-0063,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00239,ANT-FRZ-0063,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00240,ANT-FRZ-0063,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00241,ANT-FRZ-0064,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00242,ANT-FRZ-0064,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00243,ANT-FRZ-0064,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00244,ANT-FRZ-0065,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00245,ANT-FRZ-0065,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
