assignment_id,awb,asset_code,asset_type,segment,started_at,ended_at
AS-00057,ANT-FRZ-0018,BAG-018,COOLER_BAG,PICKUP,2026-09-18T12:41:00.000Z,2026-09-18T13:43:00.000Z
AS-00058,ANT-FRZ-0018,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T13:43:00.000Z,2026-09-18T14:08:00.000Z
AS-00059,ANT-FRZ-0018,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:08:00.000Z,2026-09-18T14:46:00.000Z
AS-00060,ANT-FRZ-0018,BAG-018,COOLER_BAG,LAST_MILE,2026-09-18T14:46:00.000Z,2026-09-18T15:58:00.000Z
AS-00061,ANT-FRZ-0019,BAG-019,COOLER_BAG,PICKUP,2026-09-18T14:46:00.000Z,2026-09-18T15:31:00.000Z
AS-00062,ANT-FRZ-0019,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T15:31:00.000Z,2026-09-18T15:57:00.000Z
AS-00063,ANT-FRZ-0019,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:57:00.000Z,
AS-00064,ANT-FRZ-0020,BAG-020,COOLER_BAG,PICKUP,2026-09-18T14:46:00.000Z,
AS-00065,ANT-FRZ-0021,BAG-021,COOLER_BAG,PICKUP,2026-09-18T11:58:00.000Z,2026-09-18T12:45:00.000Z
AS-00066,ANT-FRZ-0021,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T12:45:00.000Z,2026-09-18T13:13:00.000Z
AS-00067,ANT-FRZ-0021,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:13:00.000Z,2026-09-18T14:03:00.000Z
AS-00068,ANT-FRZ-0021,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T14:03:00.000Z,2026-09-18T14:32:00.000Z
AS-00069,ANT-FRZ-0021,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:32:00.000Z,2026-09-18T15:25:00.000Z
AS-00070,ANT-FRZ-0021,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T15:25:00.000Z,2026-09-18T15:55:00.000Z
AS-00071,ANT-FRZ-0021,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:55:00.000Z,
AS-00072,ANT-FRZ-0022,BAG-022,COOLER_BAG,PICKUP,2026-09-18T14:40:00.000Z,
AS-00073,ANT-FRZ-0023,BAG-023,COOLER_BAG,PICKUP,2026-09-18T12:28:00.000Z,2026-09-18T13:17:00.000Z
AS-00074,ANT-FRZ-0023,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T13:17:00.000Z,2026-09-18T13:47:00.000Z
AS-00075,ANT-FRZ-0023,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:47:00.000Z,2026-09-18T14:39:00.000Z
AS-00076,ANT-FRZ-0023,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:39:00.000Z,2026-09-18T15:10:00.000Z
AS-00077,ANT-FRZ-0023,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:10:00.000Z,2026-09-18T15:53:00.000Z
AS-00078,ANT-FRZ-0023,BAG-023,COOLER_BAG,LAST_MILE,2026-09-18T15:53:00.000Z,
AS-00079,ANT-FRZ-0024,BAG-024,COOLER_BAG,PICKUP,2026-09-18T14:34:00.000Z,
AS-00080,ANT-FRZ-0025,BAG-025,COOLER_BAG,PICKUP,2026-09-18T12:52:00.000Z,2026-09-18T13:43:00.000Z
AS-00081,ANT-FRZ-0025,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T13:43:00.000Z,2026-09-18T14:03:00.000Z
AS-00082,ANT-FRZ-0025,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:03:00.000Z,2026-09-18T14:57:00.000Z
AS-00083,ANT-FRZ-0025,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T14:57:00.000Z,2026-09-18T15:18:00.000Z
AS-00084,ANT-FRZ-0025,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:18:00.000Z,2026-09-18T16:03:00.000Z
AS-00085,ANT-FRZ-0025,BAG-025,COOLER_BAG,LAST_MILE,2026-09-18T16:03:00.000Z,
AS-00086,ANT-FRZ-0026,BAG-026,COOLER_BAG,PICKUP,2026-09-18T13:54:00.000Z,2026-09-18T14:46:00.000Z
AS-00087,ANT-FRZ-0026,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T14:46:00.000Z,2026-09-18T15:07:00.000Z
AS-00088,ANT-FRZ-0026,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:07:00.000Z,2026-09-18T16:02:00.000Z
AS-00089,ANT-FRZ-0026,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T16:02:00.000Z,
AS-00090,ANT-FRZ-0027,BAG-027,COOLER_BAG,PICKUP,2026-09-18T12:40:00.000Z,2026-09-18T13:33:00.000Z
AS-00091,ANT-FRZ-0027,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:33:00.000Z,2026-09-18T13:55:00.000Z
AS-00092,ANT-FRZ-0027,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:55:00.000Z,2026-09-18T14:51:00.000Z
AS-00093,ANT-FRZ-0027,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T14:51:00.000Z,2026-09-18T15:14:00.000Z
AS-00094,ANT-FRZ-0027,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:14:00.000Z,2026-09-18T16:01:00.000Z
AS-00095,ANT-FRZ-0027,BAG-027,COOLER_BAG,LAST_MILE,2026-09-18T16:01:00.000Z,
AS-00096,ANT-FRZ-0028,BAG-028,COOLER_BAG,PICKUP,2026-09-18T15:06:00.000Z,2026-09-18T16:00:00.000Z
AS-00097,ANT-FRZ-0028,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T16:00:00.000Z,
AS-00098,ANT-FRZ-0029,BAG-029,COOLER_BAG,PICKUP,2026-09-18T11:40:00.000Z,2026-09-18T12:35:00.000Z
AS-00099,ANT-FRZ-0029,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T12:35:00.000Z,2026-09-18T12:59:00.000Z
AS-00100,ANT-FRZ-0029,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:59:00.000Z,2026-09-18T13:57:00.000Z
AS-00101,ANT-FRZ-0029,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T13:57:00.000Z,2026-09-18T14:22:00.000Z
AS-00102,ANT-FRZ-0029,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:22:00.000Z,2026-09-18T14:57:00.000Z
AS-00103,ANT-FRZ-0029,BAG-029,COOLER_BAG,LAST_MILE,2026-09-18T14:57:00.000Z,2026-09-18T15:59:00.000Z
AS-00104,ANT-FRZ-0030,BAG-030,COOLER_BAG,PICKUP,2026-09-18T15:02:00.000Z,2026-09-18T15:58:00.000Z
AS-00105,ANT-FRZ-0030,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T15:58:00.000Z,
AS-00106,ANT-FRZ-0031,BAG-031,COOLER_BAG,PICKUP,2026-09-18T10:13:00.000Z,2026-09-18T11:10:00.000Z
AS-00107,ANT-FRZ-0031,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T11:10:00.000Z,2026-09-18T11:36:00.000Z
AS-00108,ANT-FRZ-0031,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T11:36:00.000Z,2026-09-18T12:36:00.000Z
AS-00109,ANT-FRZ-0031,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T12:36:00.000Z,2026-09-18T13:03:00.000Z
AS-00110,ANT-FRZ-0031,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:03:00.000Z,2026-09-18T13:48:00.000Z
AS-00111,ANT-FRZ-0031,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T13:48:00.000Z,2026-09-18T14:16:00.000Z
AS-00112,ANT-FRZ-0031,BOX-01,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:16:00.000Z,2026-09-18T14:53:00.000Z
AS-00113,ANT-FRZ-0031,BAG-031,COOLER_BAG,LAST_MILE,2026-09-18T14:53:00.000Z,2026-09-18T15:57:00.000Z
AS-00114,ANT-FRZ-0032,BAG-032,COOLER_BAG,PICKUP,2026-09-18T14:58:00.000Z,2026-09-18T15:56:00.000Z
AS-00115,ANT-FRZ-0032,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T15:56:00.000Z,
AS-00116,ANT-FRZ-0033,BAG-033,COOLER_BAG,PICKUP,2026-09-18T11:12:00.000Z,2026-09-18T12:11:00.000Z
AS-00117,ANT-FRZ-0033,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T12:11:00.000Z,2026-09-18T12:39:00.000Z
AS-00118,ANT-FRZ-0033,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:39:00.000Z,2026-09-18T13:41:00.000Z
AS-00119,ANT-FRZ-0033,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:41:00.000Z,2026-09-18T14:10:00.000Z
AS-00120,ANT-FRZ-0033,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:10:00.000Z,2026-09-18T14:49:00.000Z
AS-00121,ANT-FRZ-0033,BAG-033,COOLER_BAG,LAST_MILE,2026-09-18T14:49:00.000Z,2026-09-18T15:55:00.000Z
AS-00122,ANT-FRZ-0034,BAG-034,COOLER_BAG,PICKUP,2026-09-18T14:25:00.000Z,2026-09-18T15:25:00.000Z
AS-00123,ANT-FRZ-0034,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T15:25:00.000Z,2026-09-18T15:54:00.000Z
AS-00124,ANT-FRZ-0034,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:54:00.000Z,
AS-00125,ANT-FRZ-0035,BAG-035,COOLER_BAG,PICKUP,2026-09-18T11:16:00.000Z,2026-09-18T12:17:00.000Z
AS-00126,ANT-FRZ-0035,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T12:17:00.000Z,2026-09-18T12:47:00.000Z
AS-00127,ANT-FRZ-0035,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:47:00.000Z,2026-09-18T13:33:00.000Z
AS-00128,ANT-FRZ-0035,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T13:33:00.000Z,2026-09-18T14:04:00.000Z
AS-00129,ANT-FRZ-0035,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:04:00.000Z,2026-09-18T14:45:00.000Z
AS-00130,ANT-FRZ-0035,BAG-035,COOLER_BAG,LAST_MILE,2026-09-18T14:45:00.000Z,2026-09-18T15:53:00.000Z
AS-00131,ANT-FRZ-0036,BAG-036,COOLER_BAG,PICKUP,2026-09-18T12:01:00.000Z,2026-09-18T13:03:00.000Z
AS-00132,ANT-FRZ-0036,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T13:03:00.000Z,2026-09-18T13:34:00.000Z
AS-00133,ANT-FRZ-0036,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:34:00.000Z,2026-09-18T14:21:00.000Z
AS-00134,ANT-FRZ-0036,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:21:00.000Z,2026-09-18T14:41:00.000Z
AS-00135,ANT-FRZ-0036,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:41:00.000Z,2026-09-18T15:31:00.000Z
AS-00136,ANT-FRZ-0036,FREEZER-TGS,HUB_FREEZER,AT_HUB,2026-09-18T15:31:00.000Z,2026-09-18T15:52:00.000Z
AS-00137,ANT-FRZ-0036,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:52:00.000Z,
AS-00138,ANT-FRZ-0037,BAG-037,COOLER_BAG,PICKUP,2026-09-18T14:43:00.000Z,
AS-00139,ANT-FRZ-0038,BAG-038,COOLER_BAG,PICKUP,2026-09-18T14:55:00.000Z,2026-09-18T15:41:00.000Z
AS-00140,ANT-FRZ-0038,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T15:41:00.000Z,2026-09-18T16:02:00.000Z
AS-00141,ANT-FRZ-0038,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T16:02:00.000Z,
AS-00142,ANT-FRZ-0039,BAG-039,COOLER_BAG,PICKUP,2026-09-18T16:01:00.000Z,
AS-00143,ANT-FRZ-0040,BAG-040,COOLER_BAG,PICKUP,2026-09-18T14:03:00.000Z,2026-09-18T14:51:00.000Z
AS-00144,ANT-FRZ-0040,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:51:00.000Z,2026-09-18T15:14:00.000Z
AS-00145,ANT-FRZ-0040,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:14:00.000Z,2026-09-18T16:00:00.000Z
AS-00146,ANT-FRZ-0040,BAG-040,COOLER_BAG,LAST_MILE,2026-09-18T16:00:00.000Z,
AS-00147,ANT-FRZ-0041,BAG-041,COOLER_BAG,PICKUP,2026-09-18T15:59:00.000Z,
AS-00148,ANT-FRZ-0042,BAG-042,COOLER_BAG,PICKUP,2026-09-18T13:55:00.000Z,2026-09-18T14:45:00.000Z
AS-00149,ANT-FRZ-0042,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T14:45:00.000Z,2026-09-18T15:10:00.000Z
AS-00150,ANT-FRZ-0042,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:10:00.000Z,2026-09-18T15:58:00.000Z
AS-00151,ANT-FRZ-0042,BAG-042,COOLER_BAG,LAST_MILE,2026-09-18T15:58:00.000Z,
AS-00152,ANT-FRZ-0043,BAG-043,COOLER_BAG,PICKUP,2026-09-18T15:06:00.000Z,2026-09-18T15:57:00.000Z
AS-00153,ANT-FRZ-0043,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T15:57:00.000Z,
AS-00154,ANT-FRZ-0044,BAG-044,COOLER_BAG,PICKUP,2026-09-18T14:01:00.000Z,2026-09-18T14:53:00.000Z
AS-00155,ANT-FRZ-0044,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T14:53:00.000Z,2026-09-18T15:20:00.000Z
AS-00156,ANT-FRZ-0044,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:20:00.000Z,2026-09-18T15:56:00.000Z
AS-00157,ANT-FRZ-0044,BAG-044,COOLER_BAG,LAST_MILE,2026-09-18T15:56:00.000Z,
AS-00158,ANT-FRZ-0045,BAG-045,COOLER_BAG,PICKUP,2026-09-18T15:02:00.000Z,2026-09-18T15:55:00.000Z
AS-00159,ANT-FRZ-0045,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T15:55:00.000Z,
AS-00160,ANT-FRZ-0046,BAG-046,COOLER_BAG,PICKUP,2026-09-18T10:55:00.000Z,2026-09-18T11:49:00.000Z
AS-00161,ANT-FRZ-0046,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T11:49:00.000Z,2026-09-18T12:18:00.000Z
AS-00162,ANT-FRZ-0046,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:18:00.000Z,2026-09-18T13:15:00.000Z
AS-00163,ANT-FRZ-0046,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:15:00.000Z,2026-09-18T13:45:00.000Z
AS-00164,ANT-FRZ-0046,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:45:00.000Z,2026-09-18T14:45:00.000Z
AS-00165,ANT-FRZ-0046,FREEZER-TGS,HUB_FREEZER,AT_HUB,2026-09-18T14:45:00.000Z,2026-09-18T15:16:00.000Z
AS-00166,ANT-FRZ-0046,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:16:00.000Z,2026-09-18T15:54:00.000Z
AS-00167,ANT-FRZ-0046,BAG-046,COOLER_BAG,LAST_MILE,2026-09-18T15:54:00.000Z,
AS-00168,ANT-FRZ-0047,BAG-047,COOLER_BAG,PICKUP,2026-09-18T14:58:00.000Z,2026-09-18T15:53:00.000Z
AS-00169,ANT-FRZ-0047,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T15:53:00.000Z,
AS-00170,ANT-FRZ-0048,BAG-048,COOLER_BAG,PICKUP,2026-09-18T12:45:00.000Z,2026-09-18T13:41:00.000Z
AS-00171,ANT-FRZ-0048,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T13:41:00.000Z,2026-09-18T14:12:00.000Z
AS-00172,ANT-FRZ-0048,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:12:00.000Z,2026-09-18T14:52:00.000Z
AS-00173,ANT-FRZ-0048,BAG-048,COOLER_BAG,LAST_MILE,2026-09-18T14:52:00.000Z,2026-09-18T15:52:00.000Z
AS-00174,ANT-FRZ-0049,BAG-049,COOLER_BAG,PICKUP,2026-09-18T15:06:00.000Z,2026-09-18T16:03:00.000Z
AS-00175,ANT-FRZ-0049,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T16:03:00.000Z,
AS-00176,ANT-FRZ-0050,BAG-050,COOLER_BAG,PICKUP,2026-09-18T12:59:00.000Z,2026-09-18T13:57:00.000Z
AS-00177,ANT-FRZ-0050,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:57:00.000Z,2026-09-18T14:18:00.000Z
AS-00178,ANT-FRZ-0050,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:18:00.000Z,2026-09-18T15:00:00.000Z
AS-00179,ANT-FRZ-0050,BAG-050,COOLER_BAG,LAST_MILE,2026-09-18T15:00:00.000Z,2026-09-18T16:02:00.000Z
AS-00180,ANT-FRZ-0051,BAG-051,COOLER_BAG,PICKUP,2026-09-18T12:04:00.000Z,2026-09-18T13:03:00.000Z
AS-00181,ANT-FRZ-0051,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T13:03:00.000Z,2026-09-18T13:25:00.000Z
AS-00182,ANT-FRZ-0051,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:25:00.000Z,2026-09-18T14:27:00.000Z
AS-00183,ANT-FRZ-0051,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T14:27:00.000Z,2026-09-18T14:50:00.000Z
AS-00184,ANT-FRZ-0051,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:50:00.000Z,2026-09-18T15:37:00.000Z
AS-00185,ANT-FRZ-0051,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T15:37:00.000Z,2026-09-18T16:01:00.000Z
AS-00186,ANT-FRZ-0051,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T16:01:00.000Z,
AS-00187,ANT-FRZ-0052,BAG-052,COOLER_BAG,PICKUP,2026-09-18T12:49:00.000Z,2026-09-18T13:49:00.000Z
AS-00188,ANT-FRZ-0052,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T13:49:00.000Z,2026-09-18T14:12:00.000Z
